"COL0","COL1"
"5915",32612.00
"59150004",34432.00
"59150005",49664.00
"59150006",46080.00
"59150007",51648.00
"59150008",56704.00
"59150009",48256.00
"59150010",49664.00
"59150012",47232.00
"59150013",45568.00
"59150014",41899.00
"59150015",49920.00
"59150016",52608.00
"59150017",52416.00
"59150018",61952.00
"59150019",48320.00
"59150020",42624.00
"59150021",41984.00
"59150022",60416.00
"59150023",47232.00
"59150024",48128.00
"59150025",56960.00
"59150027",54912.00
"59150028",47915.00
"59150029",49536.00
"59150030",44672.00
"59150031",40576.00
"59150032",43904.00
"59150033",48192.00
"59150034",49024.00
"59150035",33504.00
"59150036",42816.00
"59150037",38592.00
"59150038",44459.00
"59150039",56640.00
"59150040",22741.00
"59150041",30784.00
"59150042",49920.00
"59150043",37845.00
"59150044",24288.00
"59150045",33536.00
"59150046",27755.00
"59150047",20006.00
"59150048",44928.00
"59150049",43093.00
"59150050",36224.00
"59150051",40064.00
"59150052",36736.00
"59150053",45952.00
"59150054",41600.00
"59150055",40256.00
"59150056",33536.00
"59150059",27648.00
"59150062",20779.00
"59150064",34816.00
"59150067",45760.00
"59150068",27616.00
"59150069",29696.00
"59150070",40192.00
"59150071",43392.00
"59150072",41045.00
"59150073",39936.00
"59150074",34176.00
"59150075",41216.00
"59150076",35712.00
"59150077",37504.00
"59150078",32960.00
"59150079",39253.00
"59150080",33152.00
"59150081",43008.00
"59150082",38059.00
"59150083",41152.00
"59150084",36309.00
"59150085",33335.00
"59150086",31072.00
"59150087",32896.00
"59150088",26944.00
"59150089",30048.00
"59150090",37248.00
"59150091",33562.00
"59150092",30144.00
"59150093",29792.00
"59150094",31680.00
"59150095",37248.00
"59150096",34816.00
"59150097",44736.00
"59150098",34987.00
"59150099",26560.00
"59150100",34432.00
"59150101",44032.00
"59150102",52096.00
"59150103",50560.00
"59150104",40320.00
"59150105",46208.00
"59150106",49365.00
"59150107",57856.00
"59150108",47232.00
"59150109",58752.00
"59150110",49536.00
"59150111",43392.00
"59150112",44992.00
"59150113",37312.00
"59150114",49728.00
"59150115",54720.00
"59150116",49472.00
"59150117",43221.00
"59150118",40576.00
"59150119",37248.00
"59150120",50144.00
