PM25DAL12_PC,PM25DAL12_01,POSTALCODE_12,PROV_12
V0A1B0,4,V0A1B0,BC
V0A1E0,3.4,V0A1E0,BC
V0A1G0,3.9,V0A1G0,BC
V0A1H0,4.1,V0A1H0,BC
V0A1H1,4,V0A1H1,BC
V0A1H2,3.1,V0A1H2,BC
V0A1H3,4.2,V0A1H3,BC
V0A1H4,3.3,V0A1H4,BC
V0A1H6,4,V0A1H6,BC
V0A1H7,2.9,V0A1H7,BC
V0A1J0,0.8,V0A1J0,BC
V0A1K0,3.1,V0A1K0,BC
V0A1K2,3.1,V0A1K2,BC
V0A1K3,3,V0A1K3,BC
V0A1K4,3.2,V0A1K4,BC
V0A1K5,3.1,V0A1K5,BC
V0A1K6,3.3,V0A1K6,BC
V0A1K7,3.2,V0A1K7,BC
V0A1L0,3.6,V0A1L0,BC
V0A1M0,3.1,V0A1M0,BC
V0A1P0,2.9,V0A1P0,BC
V0A1T0,3.9,V0A1T0,BC
V0B1A0,2,V0B1A0,BC
V0B1A1,3,V0B1A1,BC
V0B1A2,1.4,V0B1A2,BC
V0B1A3,0.6,V0B1A3,BC
V0B1A4,1.4,V0B1A4,BC
V0B1B0,2.4,V0B1B0,BC
V0B1C0,2.2,V0B1C0,BC
V0B1C1,2.2,V0B1C1,BC
V0B1E0,3.9,V0B1E0,BC
V0B1G0,2.1,V0B1G0,BC
V0B1G1,1.9,V0B1G1,BC
V0B1G2,2.4,V0B1G2,BC
V0B1G3,1.8,V0B1G3,BC
V0B1G4,2.1,V0B1G4,BC
V0B1G5,2.3,V0B1G5,BC
V0B1G6,2,V0B1G6,BC
V0B1G7,3.7,V0B1G7,BC
V0B1G8,1.3,V0B1G8,BC
V0B1G9,2.6,V0B1G9,BC
V0B1H0,2.4,V0B1H0,BC
V0B1K0,2.1,V0B1K0,BC
V0B1L0,2,V0B1L0,BC
V0B1L1,2.3,V0B1L1,BC
V0B1L2,2.3,V0B1L2,BC
V0B1M0,3,V0B1M0,BC
V0B1M1,3,V0B1M1,BC
V0B1M2,3,V0B1M2,BC
V0B1M3,3.2,V0B1M3,BC
V0B1M4,3.1,V0B1M4,BC
V0B1M5,3.6,V0B1M5,BC
V0B1M6,3.6,V0B1M6,BC
V0B1M7,3.3,V0B1M7,BC
V0B1N0,4.8,V0B1N0,BC
V0B1R0,4.3,V0B1R0,BC
V0B1R1,3.9,V0B1R1,BC
V0B1S0,4.2,V0B1S0,BC
V0B1T0,4.1,V0B1T0,BC
V0B1T1,2.8,V0B1T1,BC
V0B1T2,3.6,V0B1T2,BC
V0B1T3,4.1,V0B1T3,BC
V0B1T4,3.7,V0B1T4,BC
V0B1T5,3,V0B1T5,BC
V0B1T6,3,V0B1T6,BC
V0B1T7,3.2,V0B1T7,BC
V0B1V1,3.3,V0B1V1,BC
V0B1W0,1.8,V0B1W0,BC
V0B1W1,2,V0B1W1,BC
V0B1W2,1.9,V0B1W2,BC
V0B1X0,4.1,V0B1X0,BC
V0B2A0,0.6,V0B2A0,BC
V0B2B0,2.3,V0B2B0,BC
V0B2C0,2.5,V0B2C0,BC
V0B2E0,3.8,V0B2E0,BC
V0B2G0,3.4,V0B2G0,BC
V0B2G1,3,V0B2G1,BC
V0B2G2,3.5,V0B2G2,BC
V0B2G3,2.5,V0B2G3,BC
V0B2H0,3.4,V0B2H0,BC
V0B2J0,3.6,V0B2J0,BC
V0B2K0,3.7,V0B2K0,BC
V0B2L0,3.1,V0B2L0,BC
V0B2L1,3,V0B2L1,BC
V0B2L2,3.1,V0B2L2,BC
V0B2N0,1,V0B2N0,BC
V0B2N1,1,V0B2N1,BC
V0B2N2,1,V0B2N2,BC
V0B2P0,2.4,V0B2P0,BC
V0C1B0,NULL,V0C1B0,BC
V0C1C0,NULL,V0C1C0,BC
V0C1E0,NULL,V0C1E0,BC
V0C1G0,NULL,V0C1G0,BC
V0C1H0,NULL,V0C1H0,BC
V0C1J0,NULL,V0C1J0,BC
V0C1K0,NULL,V0C1K0,BC
V0C1L0,NULL,V0C1L0,BC
V0C1N0,NULL,V0C1N0,BC
V0C1R0,NULL,V0C1R0,BC
V0C1S0,NULL,V0C1S0,BC
V0C1T0,NULL,V0C1T0,BC
V0C1V0,NULL,V0C1V0,BC
V0C1W0,NULL,V0C1W0,BC
V0C1X0,NULL,V0C1X0,BC
V0C1Y0,NULL,V0C1Y0,BC
V0C1Z0,NULL,V0C1Z0,BC
V0C2A0,NULL,V0C2A0,BC
V0C2B0,NULL,V0C2B0,BC
V0C2C0,NULL,V0C2C0,BC
V0C2E0,NULL,V0C2E0,BC
V0C2G0,NULL,V0C2G0,BC
V0C2H0,NULL,V0C2H0,BC
V0C2J0,NULL,V0C2J0,BC
V0C2K0,NULL,V0C2K0,BC
V0C2L0,NULL,V0C2L0,BC
V0C2N0,NULL,V0C2N0,BC
V0C2R0,NULL,V0C2R0,BC
V0C2S0,NULL,V0C2S0,BC
V0C2T0,NULL,V0C2T0,BC
V0C2V0,NULL,V0C2V0,BC
V0C2W0,NULL,V0C2W0,BC
V0C2X0,NULL,V0C2X0,BC
V0C2Z0,NULL,V0C2Z0,BC
V0E1B0,3,V0E1B0,BC
V0E1B1,3,V0E1B1,BC
V0E1B2,3.4,V0E1B2,BC
V0E1B3,2.1,V0E1B3,BC
V0E1B4,3.4,V0E1B4,BC
V0E1B5,2.1,V0E1B5,BC
V0E1B6,3.5,V0E1B6,BC
V0E1B7,3.5,V0E1B7,BC
V0E1B8,1.7,V0E1B8,BC
V0E1C0,7.5,V0E1C0,BC
V0E1E0,5.5,V0E1E0,BC
V0E1E1,5.3,V0E1E1,BC
V0E1H0,2,V0E1H0,BC
V0E1H1,2.4,V0E1H1,BC
V0E1H2,1.9,V0E1H2,BC
V0E1J0,6.5,V0E1J0,BC
V0E1K0,4.8,V0E1K0,BC
V0E1M0,1.4,V0E1M0,BC
V0E1M1,1.4,V0E1M1,BC
V0E1M2,3,V0E1M2,BC
V0E1M3,1.3,V0E1M3,BC
V0E1M4,2.5,V0E1M4,BC
V0E1M5,2,V0E1M5,BC
V0E1M6,1.1,V0E1M6,BC
V0E1M7,3.2,V0E1M7,BC
V0E1M8,3.5,V0E1M8,BC
V0E1M9,4.4,V0E1M9,BC
V0E1N0,7.1,V0E1N0,BC
V0E1N1,7.2,V0E1N1,BC
V0E1N2,8,V0E1N2,BC
V0E1R0,6.9,V0E1R0,BC
V0E1S0,1.8,V0E1S0,BC
V0E1T0,3,V0E1T0,BC
V0E1V0,4.3,V0E1V0,BC
V0E1V1,4.3,V0E1V1,BC
V0E1V2,4.4,V0E1V2,BC
V0E1V3,3.7,V0E1V3,BC
V0E1V4,3.7,V0E1V4,BC
V0E1V5,1.7,V0E1V5,BC
V0E1W0,1.1,V0E1W0,BC
V0E1W1,0,V0E1W1,BC
V0E1Y0,2.3,V0E1Y0,BC
V0E1Z0,6,V0E1Z0,BC
V0E1Z1,2.6,V0E1Z1,BC
V0E1Z2,4.9,V0E1Z2,BC
V0E2A0,3.9,V0E2A0,BC
V0E2C0,6.9,V0E2C0,BC
V0E2E0,6.7,V0E2E0,BC
V0E2G0,4.4,V0E2G0,BC
V0E2G1,3.6,V0E2G1,BC
V0E2G2,2,V0E2G2,BC
V0E2G3,3.3,V0E2G3,BC
V0E2G4,3.7,V0E2G4,BC
V0E2G5,4.5,V0E2G5,BC
V0E2G6,2.2,V0E2G6,BC
V0E2G7,4.4,V0E2G7,BC
V0E2H0,5.8,V0E2H0,BC
V0E2J0,3.6,V0E2J0,BC
V0E2K0,2.6,V0E2K0,BC
V0E2K2,2.7,V0E2K2,BC
V0E2L0,3.2,V0E2L0,BC
V0E2M0,4.3,V0E2M0,BC
V0E2N0,1.7,V0E2N0,BC
V0E2P0,3.6,V0E2P0,BC
V0E2R0,4,V0E2R0,BC
V0E2S0,3.9,V0E2S0,BC
V0E2S1,3.4,V0E2S1,BC
V0E2S2,3.9,V0E2S2,BC
V0E2S3,3.4,V0E2S3,BC
V0E2V0,3.7,V0E2V0,BC
V0E2V1,3.4,V0E2V1,BC
V0E2V2,3.7,V0E2V2,BC
V0E2V3,2.8,V0E2V3,BC
V0E2V4,4,V0E2V4,BC
V0E2V5,4.5,V0E2V5,BC
V0E2W0,1.8,V0E2W0,BC
V0E2W1,1.3,V0E2W1,BC
V0E2W2,1.1,V0E2W2,BC
V0E2X0,3.5,V0E2X0,BC
V0E2X1,5.5,V0E2X1,BC
V0E2X2,4.7,V0E2X2,BC
V0E2X3,3.5,V0E2X3,BC
V0E2Z0,7.3,V0E2Z0,BC
V0E3A0,6.6,V0E3A0,BC
V0E3B0,0.8,V0E3B0,BC
V0E3B1,0.8,V0E3B1,BC
V0E3E0,5.4,V0E3E0,BC
V0E3E1,6.1,V0E3E1,BC
V0E3K0,3.9,V0E3K0,BC
V0E3L0,1.5,V0E3L0,BC
V0E5N0,2.6,V0E5N0,BC
V0G1A0,4.2,V0G1A0,BC
V0G1B0,0.9,V0G1B0,BC
V0G1C0,3.7,V0G1C0,BC
V0G1E0,3.4,V0G1E0,BC
V0G1G0,2.8,V0G1G0,BC
V0G1H0,3.1,V0G1H0,BC
V0G1H1,1.7,V0G1H1,BC
V0G1H2,3.4,V0G1H2,BC
V0G1J0,1.5,V0G1J0,BC
